"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"331",345,"Dawson",1,"Private","Private","Y","Y118","AC","ACPL","ACPL","Acer platanoides","Norway Maple",19.9,"N","N","USDA/TC",""
"332",346,"Dawson",1,"Private","Private","Y","Y118","AC","ACPL","ACPL","Acer platanoides","Norway Maple",14.8,"N","N","USDA/TC",""
"333",347,"Dawson",1,"Private","Private","Y","Y118","AC","ACPL","ACPL","Acer platanoides","Norway Maple",31.8,"N","N","USDA/TC",""
"334",348,"Dawson",1,"Private","Private","Y","Y119","AC","ACPL","ACPL","Acer platanoides","Norway Maple",42.7,"N","N","USDA/TC",""
"335",349,"Dawson",1,"Private","Private","Y","Y119","AC","ACPL","ACPL","Acer platanoides","Norway Maple",35.2,"N","N","USDA/TC",""
"336",350,"Dawson",1,"Private","Private","Y","Y119","AC","ACPL","ACPL","Acer platanoides","Norway Maple",28.2,"N","N","USDA/TC",""
"337",351,"Dawson",1,"Private","Private","Y","Y119","AC","ACPL","ACPL","Acer platanoides","Norway Maple",74.4,"N","N","USDA/TC",""
"338",352,"Dawson",1,"Private","Private","Y","Y119","AC","ACPL","ACPL","Acer platanoides","Norway Maple",63.4,"N","N","USDA/TC",""
"339",353,"Dawson",1,"Private","Private","Y","Y119","AC","ACPL","ACPL","Acer platanoides","Norway Maple",12.1,"N","N","USDA/TC",""
"340",354,"Dawson",1,"Private","Private","Y","Y119","AC","ACPL","ACPL","Acer platanoides","Norway Maple",53.4,"N","N","USDA/TC",""
"341",355,"Dawson",1,"Private","Private","Y","Y119","AC","ACPL","ACPL","Acer platanoides","Norway Maple",45.6,"N","N","USDA/TC",""
"342",356,"Dawson",1,"Private","Private","Y","Y119","AC","ACPL","ACPL","Acer platanoides","Norway Maple",21.5,"N","N","USDA/TC",""
"343",357,"Dawson",1,"Private","Private","Y","Y127","AC","ACPL","ACPL","Acer platanoides","Norway Maple",34,"N","N","USDA/TC",""
"344",358,"Dawson",1,"Private","Private","Y","Y131","AC","ACPL","ACPL","Acer platanoides","Norway Maple",72.2,"N","N","USDA/TC",""
"345",359,"Dawson",1,"Private","Private","Y","Y132","AC","ACPL","ACPL","Acer platanoides","Norway Maple",73.1,"N","N","USDA/TC",""
"346",360,"Dawson",1,"Private","Private","Y","Y135","AC","ACPL","ACPL","Acer platanoides","Norway Maple",52.5,"N","N","USDA/TC",""
"347",361,"Dawson",1,"Private","Private","Y","Y137","AC","ACPL","ACPL","Acer platanoides","Norway Maple",11.8,"N","N","USDA/TC",""
"348",362,"Dawson",1,"Private","Private","Y","Y139","AC","ACPL","ACPL","Acer platanoides","Norway Maple",52.4,"N","N","USDA/TC",""
"349",363,"Dawson",1,"Private","Private","Y","Y139","AC","ACPL","ACPL","Acer platanoides","Norway Maple",9.8,"N","N","USDA/TC",""
"350",364,"Dawson",1,"Private","Private","Y","Y139","AC","ACPL","ACPL","Acer platanoides","Norway Maple",10.7,"N","N","USDA/TC",""
"351",365,"Dawson",1,"Private","Private","Y","Y139","AC","ACPL","ACPL","Acer platanoides","Norway Maple",6.8,"N","N","USDA/TC",""
"352",366,"Dawson",1,"Private","Private","Y","Y139","AC","ACPL","ACPL","Acer platanoides","Norway Maple",62.2,"N","N","USDA/TC",""
"353",367,"Dawson",1,"Private","Private","Y","Y139","AC","ACPL","ACPL","Acer platanoides","Norway Maple",34.9,"N","N","USDA/TC",""
"354",368,"Dawson",1,"Private","Private","Y","Y139","AC","ACPL","ACPL","Acer platanoides","Norway Maple",81.9,"N","N","USDA/TC",""
"355",369,"Dawson",1,"Private","Private","Y","Y140","AC","ACPL","ACPL","Acer platanoides","Norway Maple",5,"N","N","USDA/TC",""
"356",370,"Dawson",1,"Private","Private","Y","Y140","AC","ACPL","ACPL","Acer platanoides","Norway Maple",5,"N","N","USDA/TC",""
"357",371,"Dawson",1,"Private","Private","Y","Y140","AC","ACPL","ACPL","Acer platanoides","Norway Maple",5,"N","N","USDA/TC",""
"358",372,"Dawson",1,"Private","Private","Y","Y142","AC","ACPL","ACPL","Acer platanoides","Norway Maple",37.5,"N","N","USDA/TC",""
"359",373,"Dawson",1,"Private","Private","Y","Y142","AC","ACPL","ACPL","Acer platanoides","Norway Maple",40.9,"N","N","USDA/TC",""
